0 8.053480 7.054020 
1 7.946173 6.966484 
2 7.906058 6.945273 
3 7.889303 6.941272 
4 8.036523 6.939811 
5 7.890062 6.970318 
6 7.732583 7.027362 
7 7.872128 6.960224 
8 7.948394 6.916479 
9 8.104383 6.815662 
10 8.166570 6.771860 
11 8.078522 6.838019 
12 8.156351 6.776530 
13 8.279144 6.675561 
14 8.406246 6.567590 
15 8.592438 6.405089 
16 8.770380 6.246204 
17 8.909492 6.119540 
18 9.090884 5.951555 
19 9.355034 5.703259 
20 9.299381 5.756268 
21 9.234784 5.818528 
22 9.030090 6.017939 
23 9.039844 6.008344 
24 9.159785 5.889293 
25 9.096528 5.952601 
26 9.144782 5.903935 
27 9.329361 5.716437 
28 9.346951 5.698448 
29 9.358215 5.686854 
30 9.250492 5.798400 
31 9.260571 5.787903 
32 9.277762 5.769901 
33 9.300670 5.745784 
34 9.420055 5.619463 
35 9.490033 5.545058 
36 9.478999 5.556845 
37 9.392527 5.649647 
38 9.393933 5.648132 
39 9.531034 5.499699 
40 9.535486 5.494860 
41 9.539847 5.490099 
42 9.636410 5.384259 
43 9.576532 5.450147 
44 9.583669 5.442264 
45 9.561379 5.466979 
46 9.641764 5.377517 
47 9.676445 5.338780 
48 9.644627 5.374447 
49 9.659690 5.357502 
50 9.630912 5.389988 
51 9.635093 5.385252 
52 9.627268 5.394146 
53 9.622176 5.399953 
54 9.594811 5.431262 
55 9.646713 5.371685 
56 9.716861 5.290905 
57 9.741648 5.262270 
58 9.731306 5.274254 
59 9.722664 5.284301 
60 9.750941 5.251327 
61 9.643035 5.377544 
62 9.633489 5.388744 
63 9.651286 5.367801 
64 9.701603 5.308411 
65 9.717327 5.289798 
66 9.761046 5.237892 
67 9.777703 5.218057 
68 9.787472 5.206392 
69 9.780286 5.214997 
70 9.817443 5.170372 
71 9.875601 5.100327 
72 9.878029 5.097394 
73 9.840949 5.142304 
74 9.869808 5.107254 
75 9.855784 5.124333 
76 9.901780 5.068165 
77 9.950339 5.008705 
78 9.979238 4.973223 
79 9.963863 4.992151 
80 9.971177 4.983123 
81 9.947979 5.011834 
82 9.965715 4.989825 
83 9.948891 5.010756 
84 9.982259 4.969134 
85 9.973943 4.979535 
86 10.019340 4.922617 
87 10.014385 4.928845 
88 10.039305 4.897441 
89 10.049661 4.884357 
90 9.985693 4.965375 
91 9.934671 5.030158 
92 9.942736 5.019894 
93 9.958870 4.999306 
94 9.965471 4.990862 
95 9.966034 4.990141 
96 9.946355 5.015435 
97 9.985015 4.965622 
98 10.018210 4.922747 
99 10.050634 4.880768 
100 10.035755 4.900078 
